VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
509.0,1201-01=,Baker,US-Washington,Historical,3285.0,Stratovolcanoes,D3,48.7767982,-121.810997
511.0,1201-02-,Glacier Peak,US-Washington,Tephrochronology,3213.0,Stratovolcano,D4,48.1118011,-121.1110001
513.0,1201-03-,Rainier,US-Washington,Dendrochronology,4392.0,Stratovolcano,D3,46.8698006,-121.7509995
515.0,1201-05-,St. Helens,US-Washington,Historical,2549.0,Stratovolcano,D1,46.1997986,-122.1809998
516.0,1201-04-,Adams,US-Washington,Tephrochronology,3742.0,Stratovolcano,D6,46.2057991,-121.4909973
517.0,1201-06-,West Crater,US-Washington,Radiocarbon,1329.0,Volcanic field,D7,45.8797989,-122.0810013
518.0,1201-07-,Indian Heaven,US-Washington,Radiocarbon,1806.0,Shield volcanoes,D7,45.9297981,-121.8209991
519.0,1202-01-,Hood,US-Oregon,Historical,3426.0,Stratovolcano,D3,45.3737984,-121.6910019
521.0,1202-02-,Jefferson,US-Oregon,Varve Count,3199.0,Stratovolcano,D6,44.6917992,-121.8010025
522.0,1202-03-,Blue Lake Crater,US-Oregon,Radiocarbon,1230.0,Maar,D7,44.4197998,-121.7710037
523.0,1202-04-,Sand Mountain Field,US-Oregon,Radiocarbon,1664.0,Cinder cones,D7,44.3797989,-121.9309998
524.0,1202-05-,Washington,US-Oregon,Radiocarbon,2376.0,Shield volcano,D6,44.3317986,-121.8310013
525.0,1202-06-,Belknap,US-Oregon,Radiocarbon,2095.0,Shield volcanoes,D6,44.2848015,-121.8410034
526.0,1202-07-,North Sister Field,US-Oregon,Radiocarbon,3074.0,Complex volcano,D6,44.1697998,-121.7710037
527.0,1202-08-,South Sister,US-Oregon,Radiocarbon,3157.0,Complex volcano,D7,44.0998001,-121.7710037
528.0,1202-09-,Bachelor,US-Oregon,Tephrochronology,2763.0,Stratovolcano,D7,43.9788017,-121.6809998
531.0,1202-11-,Newberry Volcano,US-Oregon,Radiocarbon,2434.0,Shield volcano,D6,43.7218018,-121.2210007
532.0,1202-10-,Davis Lake,US-Oregon,Radiocarbon,2163.0,Volcanic field,D7,43.5698013,-121.8209991
534.0,1202-12-,Devils Garden,US-Oregon,Holocene?,1698.0,Volcanic field,?,43.5119019,-120.8610001
535.0,1202-15-,Cinnamon Butte,US-Oregon,Holocene?,1956.0,Cinder cones,?,43.240799,-122.1009979
536.0,1202-13-,Squaw Ridge Lava Field,US-Oregon,Holocene?,1711.0,Volcanic field,?,43.4719009,-120.7509995
537.0,1202-14-,Four Craters Lava Field,US-Oregon,Holocene?,1501.0,Volcanic field,?,43.3609009,-120.6610031
538.0,1202-16-,Crater Lake,US-Oregon,Radiocarbon,2487.0,Caldera,D7,42.9299011,-122.1210022
539.0,1205-01-,Yellowstone,US-Wyoming,Tephrochronology,2805.0,Calderas,D7,44.4299011,-110.6709976
541.0,1202-17-,Diamond Craters,US-Oregon,Holocene?,1435.0,Volcanic field,?,43.0998993,-118.7509995
542.0,1202-19-,Jordan Craters,US-Oregon,Radiocarbon,1473.0,Volcanic field,D7,43.1498985,-117.4710007
543.0,1202-18-,Saddle Butte,US-Oregon,Holocene?,1700.0,Volcanic field,?,42.9999008,-117.8010025
544.0,1204-02-,Craters of the Moon,US-Idaho,Radiocarbon,2005.0,Cinder cones,D7,43.419899,-113.5009995
545.0,1204-04-,Hell Half Acre,US-Idaho,Radiocarbon,1631.0,Shield volcano,D7,43.4999008,-112.4509964
546.0,1204-01-,Shoshone Lava Field,US-Idaho,Holocene,1478.0,Shield volcano,D7,43.1799011,-114.3509979
547.0,1202-20-,Jackies Butte,US-Oregon,Holocene?,1418.0,Volcanic field,?,42.6058998,-117.5810013
548.0,1203-02-,Medicine Lake,US-California,Radiocarbon,2412.0,Shield volcano,D6,41.5798988,-121.5709991
549.0,1204-03-,Wapi Lava Field,US-Idaho,Radiocarbon,1604.0,Shield volcano,D7,42.8799019,-113.2210007
550.0,1203-01-,Shasta,US-California,Historical,4317.0,Stratovolcano,D4,41.419899,-122.2009964
551.0,1203-03-,Brushy Butte,US-California,Holocene?,1174.0,Shield volcano,?,41.1778984,-121.4410019
